location,property_type,condition,area,bedrooms,bathrooms,age,amenities_score,demand_score,price
model town,house,old,5950,6,2,6,4.08,0.81,80584088
aziz bhatti town,plot,old,4598,4,2,29,2.67,0.66,71461050
satellite town,flat,new,5894,4,5,5,1.69,0.94,116456716
aziz bhatti town,plot,old,5099,1,3,4,4.86,0.78,109313719
aziz bhatti town,house,old,4034,4,1,24,1.21,0.94,86164984
wapda town,flat,new,4327,4,2,16,4.82,0.88,63183711
satellite town,house,used,1053,6,4,13,2.69,0.67,13893462
satellite town,house,used,5347,4,5,16,4.3,0.97,91631573
satellite town,flat,old,5141,6,2,25,4.27,1.18,96853738
aziz bhatti town,plot,old,5663,2,2,22,2.63,0.99,125612211
model town,plot,used,5406,2,2,8,2.71,1.17,98931219
satellite town,flat,new,3402,6,5,23,2.66,0.92,65259433
aziz bhatti town,flat,new,2962,5,2,31,3.8,0.82,76586913
wapda town,house,used,5537,4,2,13,3.28,1.18,101519355
model town,house,old,4399,1,2,34,2.79,0.63,35960728
wapda town,flat,new,3027,1,2,16,2.97,0.43,19701248
model town,flat,used,5946,4,4,4,1.2,0.77,79891661
aziz bhatti town,house,used,998,5,5,12,1.44,0.88,27679414
university road,house,old,5645,5,5,0,3.67,0.63,89409048
model town,plot,used,5783,6,1,2,1.53,0.7,73585167
wapda town,flat,used,1888,6,5,6,1.75,0.5,16876873
aziz bhatti town,house,old,3360,3,3,16,1.66,0.48,36352041
model town,plot,new,1079,3,4,22,2.63,0.71,13062586
university road,house,used,1415,6,1,5,3.25,0.5,18769108
university road,flat,old,3400,6,5,3,2.39,1.2,104019576
satellite town,plot,old,4274,4,5,25,1.7,0.47,30022345
satellite town,house,new,4258,1,2,28,3.18,0.65,46612580
wapda town,flat,used,5933,2,2,4,1.55,0.42,36780351
model town,flat,used,1189,3,2,22,2.48,0.55,9358416
model town,flat,used,5101,4,2,10,4.92,0.66,58221334
satellite town,flat,used,4957,5,4,21,4.15,0.43,38231933
model town,plot,used,3889,3,3,33,3.69,1.08,63715364
model town,house,new,4675,2,2,33,3.23,0.67,51111028
university road,house,used,5914,1,3,34,2.19,1.16,140577383
satellite town,flat,old,5465,6,5,21,4.31,1.15,109471878
aziz bhatti town,house,used,4556,1,4,20,2.22,0.67,79757871
satellite town,flat,new,3578,1,1,24,4.29,0.95,58752869
aziz bhatti town,house,new,2595,4,1,10,3.02,0.89,74182949
university road,house,used,1243,4,4,32,3.11,0.57,16038860
wapda town,house,used,1205,5,1,20,4.42,0.46,8524781
model town,plot,old,5221,2,2,22,2.4,0.44,29530331
university road,flat,old,2103,2,2,16,1.96,0.84,31453439
model town,plot,used,1864,2,5,31,3.17,0.96,28376990
wapda town,house,new,4086,5,3,3,4.84,0.42,34751016
wapda town,plot,old,2456,5,5,28,4.76,0.77,28755039
university road,plot,used,1852,2,1,11,3.04,0.47,19211481
wapda town,plot,new,4140,6,2,34,1.27,0.44,30423304
aziz bhatti town,house,new,3844,3,2,5,2.22,1.01,121165075
wapda town,plot,old,1566,3,1,24,4.96,0.97,19351719
model town,house,new,5036,2,2,17,1.97,0.99,78926709
model town,flat,used,1349,2,4,6,4.73,0.74,17352429
model town,house,used,5535,1,4,16,3.4,0.58,49777884
model town,house,used,2577,3,5,28,1.95,1.09,43255408
aziz bhatti town,house,used,1057,6,1,24,2.42,0.44,13247587
satellite town,flat,new,4943,4,1,29,4.95,0.91,82881525
university road,flat,new,4638,3,1,8,2.22,0.98,110164618
model town,house,used,3586,1,1,10,3.7,0.61,35026703
wapda town,house,new,3892,5,4,16,4.76,0.53,37957575
model town,flat,used,2875,6,4,26,4.02,0.59,30689023
wapda town,flat,used,1737,2,3,25,1.15,0.76,17578914
wapda town,house,old,2182,3,3,8,2.22,0.84,24512623
model town,flat,used,1510,4,5,30,2.56,0.86,21310116
aziz bhatti town,house,new,3620,6,5,29,3.55,1.03,133195301
wapda town,house,new,1595,5,2,19,4.85,0.96,26635944
wapda town,house,new,2467,4,3,24,2.93,0.96,38731620
model town,flat,used,5216,2,4,28,3.91,0.61,49928772
wapda town,flat,old,4574,2,4,17,4.16,1.14,69133205
wapda town,flat,old,2724,4,4,5,2.83,0.92,38222743
model town,house,used,3240,1,2,19,3.89,0.85,40751075
model town,house,old,5377,2,1,15,1.24,0.95,69373785
university road,plot,used,3356,4,3,9,4.24,0.75,61795197
aziz bhatti town,house,used,861,2,3,20,4.55,0.91,21017018
aziz bhatti town,house,new,5375,3,3,9,4.99,0.72,127653736
wapda town,plot,new,3314,2,4,3,4.03,0.8,49299113
aziz bhatti town,house,old,2463,2,4,3,3.57,1.14,77084664
wapda town,house,used,4568,1,4,11,1.87,1.06,73419345
university road,flat,used,2264,1,2,33,1.13,0.45,19747186
model town,plot,old,1637,3,5,10,3.19,1.05,26677662
model town,flat,used,1744,5,4,15,4.26,0.9,29689666
model town,plot,used,4588,2,3,5,3.13,0.96,74539750
aziz bhatti town,house,used,2314,1,2,21,2.46,0.95,54502627
university road,plot,new,5829,1,4,14,3.82,0.98,152457918
aziz bhatti town,flat,used,3219,6,3,11,1.25,0.51,50875121
aziz bhatti town,house,old,2921,4,5,31,3.54,1.19,91082615
university road,flat,used,2467,3,4,26,3.7,0.57,30741487
university road,plot,used,2746,2,3,23,4.57,0.74,44045766
university road,plot,old,2557,6,2,15,3.67,0.55,32607365
university road,plot,new,3031,5,4,2,1.74,0.79,69557388
model town,flat,old,4542,2,3,13,1.35,0.51,32491656
satellite town,house,old,1094,4,3,8,1.06,0.52,8595523
satellite town,house,used,3957,6,3,29,4.36,0.92,66655770
university road,flat,old,2431,5,2,13,1.06,1.06,53653278
satellite town,flat,new,4735,5,5,18,2.85,0.88,83482386
satellite town,flat,old,4635,5,5,26,4.42,0.43,33291183
university road,house,used,1626,6,4,10,3.86,0.96,42816084
satellite town,plot,used,5802,6,4,26,3.83,0.89,96112316
aziz bhatti town,flat,old,1770,1,5,9,4.25,0.84,41003509
wapda town,flat,new,2076,3,3,26,1.03,0.42,12965024
wapda town,plot,old,5571,3,3,8,2.0,1.02,75590107
university road,house,used,4406,5,2,5,3.17,0.72,80346306
model town,flat,old,3400,5,2,21,2.18,0.97,46386465
university road,flat,new,4456,4,1,12,1.79,0.68,76308765
model town,flat,new,5145,4,3,25,1.77,1.08,94670242
wapda town,plot,old,1507,4,1,27,1.99,0.61,11465914
university road,plot,old,2829,1,4,28,1.18,0.51,26712132
aziz bhatti town,plot,new,5978,3,1,20,4.24,0.87,150619102
satellite town,plot,old,1476,6,5,22,4.55,0.42,10858008
model town,house,used,1938,2,1,1,4.92,0.42,13942158
satellite town,plot,used,3606,1,5,23,4.83,1.08,66329539
satellite town,flat,old,919,5,2,11,4.22,0.85,12951679
university road,flat,used,2740,3,4,16,3.98,0.62,37381924
satellite town,flat,used,1485,6,3,34,4.66,0.42,11498841
aziz bhatti town,flat,used,4530,1,1,32,4.19,0.98,114659136
satellite town,house,old,2385,3,4,31,4.44,1.08,38054836
university road,house,used,1478,4,3,14,2.72,0.61,21356712
aziz bhatti town,house,used,5446,6,1,25,1.28,0.77,116160065
wapda town,house,new,3641,5,4,5,1.11,0.63,43735273
satellite town,house,used,1639,3,1,6,4.76,0.57,15841738
university road,house,used,3260,3,3,20,3.11,0.5,34147365
wapda town,plot,old,3986,4,4,17,4.76,0.64,36007098
wapda town,house,used,5225,4,2,17,3.37,0.45,33682354
model town,house,old,5480,4,5,19,4.5,0.97,82171071
aziz bhatti town,flat,new,3358,6,2,16,1.9,0.96,101552888
satellite town,flat,used,4348,3,2,9,3.19,0.89,63264601
university road,house,new,5760,2,5,28,2.44,0.52,73187552
