location,property_type,area,bedrooms,bathrooms,age,condition,amenities_score,demand_score,rent
Outskirts,Penthouse,325,2,1,17,average,5,59,5386
Outskirts,Studio,4206,6,1,16,excellent,9,52,22096
Near Park,Apartment,5360,3,3,38,good,4,77,20296
Outskirts,House,2544,4,3,21,excellent,4,1,12562
Commercial Area,House,5899,2,4,18,poor,3,25,25008
City Center,Studio,1146,5,4,22,good,7,36,13758
Suburbs,House,5763,6,3,18,poor,2,86,25633
Outskirts,Apartment,3429,5,2,7,good,8,26,17078
Outskirts,House,1831,6,2,5,excellent,2,42,15382
Near Park,Studio,5066,5,1,39,poor,9,39,16579
Commercial Area,Apartment,4485,5,4,22,excellent,5,15,19837
Suburbs,Penthouse,1836,6,2,28,average,0,66,14842
Outskirts,Studio,2356,1,2,4,excellent,3,15,10493
Commercial Area,Penthouse,4928,3,2,34,poor,2,13,19078
Suburbs,House,2864,3,1,25,good,1,29,12144
Near Park,Apartment,1319,3,3,13,good,1,80,9818
Outskirts,House,3418,1,2,5,average,0,10,10964
Near Park,Studio,2691,3,2,15,excellent,2,75,11433
Near Park,Penthouse,2397,1,1,12,average,3,3,7460
Outskirts,Penthouse,2701,2,2,18,poor,3,21,10520
Commercial Area,House,2257,4,1,8,good,3,65,15104
Commercial Area,Studio,3594,5,4,25,good,4,41,19656
Near Park,House,2695,3,2,38,excellent,5,19,12913
Near Park,Villa,4362,4,1,7,good,7,76,22459
City Center,Studio,3286,3,2,2,poor,6,82,15028
Suburbs,Studio,3615,2,3,7,good,1,64,17845
Near Park,Apartment,4525,2,1,14,average,6,55,11458
Near Park,Villa,3270,2,2,20,good,9,63,14928
Suburbs,Penthouse,5074,6,4,35,average,6,46,27060
Outskirts,House,4030,2,1,27,average,8,24,17546
Commercial Area,Penthouse,3639,1,4,17,poor,4,94,15295
Outskirts,Studio,5940,1,3,33,average,7,40,15793
Suburbs,House,4442,2,1,9,excellent,1,75,17204
Suburbs,Penthouse,3553,2,3,11,poor,9,24,14215
City Center,House,4616,3,4,5,poor,6,20,18456
City Center,Penthouse,5799,2,2,10,good,7,2,18440
Commercial Area,House,1028,3,3,36,poor,7,86,11895
Near Park,Penthouse,1126,5,1,18,excellent,2,90,11274
Suburbs,Penthouse,4618,2,3,1,good,7,24,14431
City Center,House,611,6,4,7,excellent,5,53,13630
Outskirts,Apartment,1641,6,1,14,average,7,70,14386
