location,property_type,condition,area,bedrooms,bathrooms,age,amenities_score,crime_index,market_volatility,economic_stability,demand_score,risk_score
Near Park,Apartment,excellent,527,3,4,16,7,56.21,1.62,0.52,13,46.3
Commercial Area,Villa,average,1199,2,3,17,0,82.6,1.27,1.31,55,64.05
Outskirts,Studio,average,387,2,4,16,9,39.87,1.39,0.71,1,33.61
Commercial Area,Penthouse,good,628,3,3,3,4,37.9,1.81,1.44,12,39.61
Commercial Area,Penthouse,excellent,4268,4,4,10,7,42.49,0.95,1.3,68,19.57
Suburbs,Penthouse,poor,872,6,3,19,1,53.75,1.97,0.56,32,76.05
Outskirts,Villa,good,356,5,3,2,6,51.35,0.95,0.85,75,40.94
Outskirts,Villa,excellent,2986,5,4,1,1,29.24,1.08,0.89,82,34.02
Outskirts,House,poor,3471,4,2,23,9,63.09,1.91,0.85,62,57.71
Commercial Area,House,excellent,4769,2,1,25,9,56.37,0.77,0.77,87,34.66
Near Park,Penthouse,average,5128,4,3,23,3,71.76,1.17,0.64,50,54.8
Outskirts,Apartment,average,1961,3,2,23,8,98.63,1.75,1.45,92,61.99
Commercial Area,Studio,poor,4843,6,2,21,8,13.62,1.39,0.96,2,29.2
Suburbs,House,excellent,5455,4,4,28,6,32.5,0.86,1.43,68,29.05
Near Park,Studio,good,2894,2,3,9,8,77.8,1.49,1.14,15,48.99
Suburbs,Apartment,good,3994,3,1,22,9,2.98,0.96,1.49,1,6.3
Near Park,Penthouse,excellent,4857,5,2,29,9,91.29,1.72,0.66,91,75.56
Commercial Area,Studio,average,1837,3,4,18,7,95.07,1.37,0.69,92,63.63
City Center,Penthouse,excellent,1906,6,1,16,8,0.6,1.92,1.46,11,21.68
Near Park,Studio,poor,2618,2,3,33,3,72.25,1.53,1.24,41,58.12
Suburbs,Apartment,average,3191,5,4,15,6,93.72,1.57,0.97,13,63.48
Commercial Area,House,poor,3345,5,2,18,4,68.08,0.57,0.81,80,44.36
Near Park,Villa,poor,5898,3,2,7,6,81.37,1.45,0.8,49,64.77
City Center,Penthouse,average,4250,1,1,3,5,52.58,1.34,0.57,53,41.91
City Center,House,excellent,2579,5,4,2,7,53.18,1.56,0.68,16,47.21
Outskirts,Studio,excellent,1972,6,4,28,2,2.15,0.64,1.29,83,13.21
Outskirts,House,good,1577,6,1,35,7,4.05,1.07,0.88,32,25.18
Suburbs,Villa,average,2569,3,4,37,7,60.71,1.54,1.0,90,59.28
Near Park,Penthouse,average,4502,1,4,22,7,53.16,0.84,0.55,43,49.37
Near Park,Penthouse,excellent,2088,6,4,27,9,30.01,1.39,0.91,54,35.98
Outskirts,House,good,391,4,4,27,1,54.16,0.66,1.44,20,45.16
Near Park,Apartment,poor,5288,6,4,30,5,14.31,1.62,1.03,33,30.98
Near Park,Studio,good,5947,3,1,20,8,70.87,1.25,1.05,18,42.84
City Center,House,excellent,4796,6,3,0,3,59.25,1.21,1.25,90,47.94
Outskirts,Apartment,average,2554,6,4,24,4,75.78,0.78,1.47,51,40.24
Commercial Area,Penthouse,average,1783,4,4,11,2,70.85,1.51,1.11,20,59.23
Outskirts,Studio,good,3481,2,4,16,9,49.89,1.23,1.2,50,25.99
Commercial Area,Penthouse,poor,1199,1,1,33,6,57.47,1.36,1.1,44,39.62
City Center,Villa,good,5056,2,2,31,3,71.71,0.89,0.69,23,55.26
Suburbs,Apartment,average,4120,1,1,23,9,96.84,0.81,0.88,31,44.45
Near Park,Villa,good,4471,3,1,27,1,95.36,0.78,1.1,29,53.98
City Center,Villa,poor,3830,4,2,11,6,25.0,1.92,0.55,90,49.19
Near Park,Villa,excellent,5770,4,1,0,6,96.87,0.59,0.82,22,49.26
Suburbs,Apartment,average,5643,1,3,30,1,59.13,1.46,1.4,13,57.39
Suburbs,Studio,poor,2404,3,2,29,3,75.52,1.31,1.16,78,52.62
City Center,Penthouse,good,5989,3,2,8,9,94.74,1.2,1.46,5,49.22
Suburbs,Studio,good,2728,5,4,13,1,74.81,1.78,1.16,95,68.4
Commercial Area,Studio,average,393,2,1,32,0,14.15,1.02,0.73,5,49.01
Suburbs,Studio,good,2801,4,1,6,9,13.06,1.23,0.9,74,20.45
Near Park,Penthouse,good,3059,6,3,5,5,59.95,1.36,1.37,38,48.05
Near Park,Penthouse,poor,394,4,2,31,8,48.49,0.58,1.28,35,33.83
Near Park,Apartment,poor,3257,2,2,3,4,46.26,1.24,0.79,10,44.0
Near Park,House,excellent,1991,1,2,6,7,4.16,1.96,0.84,47,35.0
Commercial Area,Penthouse,poor,5481,2,2,25,8,81.16,0.71,1.4,39,35.7
Outskirts,Penthouse,good,1342,5,1,32,1,72.56,0.97,1.29,24,48.49
City Center,House,poor,2011,3,3,15,5,3.54,1.67,0.74,44,39.6
Near Park,Penthouse,good,5986,6,1,7,5,30.52,1.48,0.57,59,41.04
Suburbs,Studio,poor,4345,1,4,0,3,28.38,0.62,1.12,44,28.73
Near Park,Penthouse,excellent,4452,1,1,1,2,2.89,0.88,1.38,39,17.93
Suburbs,Apartment,average,3414,6,1,31,3,14.81,1.82,1.26,30,46.55
Suburbs,Penthouse,excellent,4878,3,2,16,8,9.94,0.79,1.15,40,12.25
Near Park,House,excellent,2005,5,4,19,7,57.23,1.06,0.89,19,44.98
Commercial Area,Studio,good,4672,4,3,9,4,51.97,1.04,0.93,77,39.42
Suburbs,House,average,5870,1,3,13,1,88.02,1.75,0.76,64,86.76
Suburbs,Penthouse,excellent,2028,2,3,18,6,82.61,1.6,0.52,55,66.51
Near Park,Penthouse,poor,3175,1,2,8,1,7.04,1.18,0.98,68,30.0
Suburbs,Apartment,good,4212,2,1,20,7,85.06,0.89,1.48,90,40.07
Suburbs,Studio,good,5965,6,4,24,4,42.17,1.58,1.13,55,43.74
Near Park,Penthouse,good,1947,2,2,18,6,73.71,1.45,0.6,39,60.93
Near Park,Apartment,average,600,1,1,11,8,73.0,0.93,0.69,74,53.71
City Center,Apartment,poor,4859,3,3,12,5,90.18,1.09,1.07,57,54.9
Commercial Area,House,good,5250,3,3,0,3,92.76,1.97,0.81,32,75.01
Commercial Area,Studio,poor,5727,2,1,15,0,10.71,0.52,1.13,10,20.43
Suburbs,Villa,poor,3502,5,2,13,9,90.73,1.79,0.73,85,72.81
Commercial Area,Apartment,poor,3660,2,1,12,7,82.07,0.64,0.95,31,33.31
Suburbs,Villa,good,4198,5,1,14,6,11.62,0.56,1.33,16,0.0
City Center,House,good,2611,3,2,19,0,80.91,1.64,0.73,35,80.07
Near Park,Apartment,poor,3065,2,1,26,3,50.06,1.85,1.25,12,57.57
Near Park,Studio,average,2959,2,3,0,4,25.43,1.22,0.64,41,43.03
Near Park,Villa,excellent,3025,4,2,31,3,7.6,0.97,0.88,71,27.27
Commercial Area,Studio,poor,4586,2,3,22,9,42.07,1.05,0.82,98,32.74
